Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,cancer.type
Breast-AdenoCA::S.100,deconstruct_0.00,20.3267924527085,0.173733268826568,1,1,1,2.82626673117343,Breast-AdenoCA
ColoRect-AdenoCA::S.1,deconstruct_0.00,40.717647592447,0.342165105818882,0.75,0.6,0.666666666666667,2.00783489418112,ColoRect-AdenoCA
ColoRect-AdenoCA::S.2,deconstruct_0.00,162,1.48623853211009,0.666666666666667,0.5,0.571428571428571,0.680428134556575,ColoRect-AdenoCA
ColoRect-AdenoCA::S.3,deconstruct_0.00,66.8379303809327,0.491455370448035,0.5,0.5,0.5,1.50854462955197,ColoRect-AdenoCA
ColoRect-AdenoCA::S.4,deconstruct_0.00,58.9468650953139,0.550905281264616,1,0.666666666666667,0.8,2.11576138540205,ColoRect-AdenoCA
ColoRect-AdenoCA::S.5,deconstruct_0.00,9.19779153850762,0.122637220513435,1,0.8,0.888888888888889,2.67736277948657,ColoRect-AdenoCA
ColoRect-AdenoCA::S.6,deconstruct_0.00,142.280541827652,0.547232853183279,0.6,0.75,0.666666666666667,1.80276714681672,ColoRect-AdenoCA
ColoRect-AdenoCA::S.7,deconstruct_0.00,86.6241939923306,0.573670158889607,0.5,0.5,0.5,1.42632984111039,ColoRect-AdenoCA
ColoRect-AdenoCA::S.8,deconstruct_0.00,45.342209730675,0.346123738402099,0.8,0.8,0.8,2.2538762615979,ColoRect-AdenoCA
ColoRect-AdenoCA::S.9,deconstruct_0.00,17.5878255708356,0.222630703428298,0.666666666666667,0.666666666666667,0.666666666666667,2.11070262990503,ColoRect-AdenoCA
ColoRect-AdenoCA::S.10,deconstruct_0.00,85.9454342595463,0.219809294781448,0.5,1,0.666666666666667,2.28019070521855,ColoRect-AdenoCA
ColoRect-AdenoCA::S.11,deconstruct_0.00,116.810595756702,0.326286580325982,0.8,0.8,0.8,2.27371341967402,ColoRect-AdenoCA
ColoRect-AdenoCA::S.12,deconstruct_0.00,34.7857718977841,0.316234289979856,0.666666666666667,1,0.8,2.35043237668681,ColoRect-AdenoCA
ColoRect-AdenoCA::S.13,deconstruct_0.00,33.4663603231186,0.251626769346756,1,1,1,2.74837323065324,ColoRect-AdenoCA
ColoRect-AdenoCA::S.14,deconstruct_0.00,14.0000000000001,0.311111111111112,0.666666666666667,0.666666666666667,0.666666666666667,2.02222222222222,ColoRect-AdenoCA
ColoRect-AdenoCA::S.15,deconstruct_0.00,264,1.25714285714286,0.5,1,0.666666666666667,1.24285714285714,ColoRect-AdenoCA
ColoRect-AdenoCA::S.16,deconstruct_0.00,103.71778143595,0.32718543039732,0.8,0.8,0.8,2.27281456960268,ColoRect-AdenoCA
ColoRect-AdenoCA::S.17,deconstruct_0.00,23.1588610692284,0.335635667669977,1,0.6,0.75,2.26436433233002,ColoRect-AdenoCA
ColoRect-AdenoCA::S.18,deconstruct_0.00,53.0633691728524,0.325542142164739,0.8,0.8,0.8,2.27445785783526,ColoRect-AdenoCA
ColoRect-AdenoCA::S.19,deconstruct_0.00,14.1028789977262,0.156698655530291,1,1,1,2.84330134446971,ColoRect-AdenoCA
ColoRect-AdenoCA::S.20,deconstruct_0.00,60,0.606060606060606,0.75,0.75,0.75,1.89393939393939,ColoRect-AdenoCA
ColoRect-AdenoCA::S.21,deconstruct_0.00,68,0.731182795698925,0.75,0.75,0.75,1.76881720430108,ColoRect-AdenoCA
ColoRect-AdenoCA::S.22,deconstruct_0.00,76.9413063214118,0.246606751030166,0.4,0.5,0.444444444444444,1.65339324896983,ColoRect-AdenoCA
ColoRect-AdenoCA::S.23,deconstruct_0.00,46,0.353846153846154,0.5,0.5,0.5,1.64615384615385,ColoRect-AdenoCA
ColoRect-AdenoCA::S.24,deconstruct_0.00,2.5358775509156,0.0347380486426795,1,1,1,2.96526195135732,ColoRect-AdenoCA
ColoRect-AdenoCA::S.25,deconstruct_0.00,25.4983755581936,0.129433378467988,1,0.666666666666667,0.8,2.53723328819868,ColoRect-AdenoCA
ColoRect-AdenoCA::S.26,deconstruct_0.00,20,0.714285714285715,0.5,0.333333333333333,0.4,1.11904761904762,ColoRect-AdenoCA
ColoRect-AdenoCA::S.27,deconstruct_0.00,178.949693181778,0.771334884404218,0.75,0.75,0.75,1.72866511559578,ColoRect-AdenoCA
ColoRect-AdenoCA::S.28,deconstruct_0.00,20.0000000000005,0.133333333333336,0.5,0.666666666666667,0.571428571428571,2.03333333333333,ColoRect-AdenoCA
ColoRect-AdenoCA::S.29,deconstruct_0.00,70.8180688170025,0.296309911368211,0.5,1,0.666666666666667,2.20369008863179,ColoRect-AdenoCA
ColoRect-AdenoCA::S.30,deconstruct_0.00,12.6013678919703,0.101623934612664,1,1,1,2.89837606538734,ColoRect-AdenoCA
ColoRect-AdenoCA::S.31,deconstruct_0.00,14.5062938573141,0.127248191730825,1,1,1,2.87275180826918,ColoRect-AdenoCA
ColoRect-AdenoCA::S.32,deconstruct_0.00,2.92962782623586,0.183101739139741,1,1,1,2.81689826086026,ColoRect-AdenoCA
ColoRect-AdenoCA::S.33,deconstruct_0.00,67.0191268019267,0.587887077209883,0.75,0.6,0.666666666666667,1.76211292279012,ColoRect-AdenoCA
ColoRect-AdenoCA::S.34,deconstruct_0.00,20.5042578490312,0.16145084920497,1,1,1,2.83854915079503,ColoRect-AdenoCA
ColoRect-AdenoCA::S.35,deconstruct_0.00,23.0019347632074,0.0766731158773578,0.75,0.75,0.75,2.42332688412264,ColoRect-AdenoCA
ColoRect-AdenoCA::POLE.S.1,deconstruct_0.00,1138.27700375842,0.646381035637944,1,0.5,0.666666666666667,1.85361896436206,ColoRect-AdenoCA
