"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"11","msa_thresholdx10",2.6603072912618,2.7558408466054,0.310449898480661,0.911576028909362,1,0.114978398916156,0.182979745775235,0.146479335092754,0.14893017233121,0.934166666666667,1,0.126586814515953,0.90912037037037,1,0.143857191646965,0.888055246433625,0.174690868375273,0.0568124822734749,-412.060024764675,-110.156391850043
"12","msa_default",2.65073479369781,2.72270319530671,0.311474206383922,0.906129234962568,1,0.117816870314848,0.18409986238685,0.148523838453972,0.148850651260122,0.932108465608466,1,0.13014209370958,0.902726190476191,1,0.148599652365551,0.887710377771261,0.18004560088815,0.064261688266963,-433.330361642718,-111.11269414404
"13","msa_thresholdx100",2.6420153066582,2.71609137450364,0.321312973085681,0.899596206262873,1,0.128369868978693,0.185150037257142,0.149063286062675,0.150094108058569,0.912219576719577,1,0.159968568409732,0.914945767195767,1,0.140030659223024,0.886499638351852,0.199654802533158,0.0654994685256571,-159.837898142478,-110.528622546818
"14","msa_thresholdx1000",2.6355643263107,2.70578666262892,0.319358795935948,0.899421670921671,0.909090909090909,0.123428202194687,0.189429059932685,0.150665657178546,0.151376928228239,0.916648148148148,1,0.148313803175777,0.908345238095238,1,0.144595984926119,0.883329930124554,0.216636889114846,0.066912686957929,-147.584209531171,-110.893718673298
"15","yapsa_0.03",2.626372692556,2.66790261752875,0.313755144413516,0.893744619577953,0.909090909090909,0.122876983875666,0.18765508522178,0.15336511067765,0.148035279027995,0.905230158730159,1,0.156440012939089,0.908797619047619,1,0.139816334322504,0.887127740302894,0.178921057504844,0.0970726720045824,-403.4192991956,-111.763573530985
"16","deconstruct_0.03",2.62185139875848,2.65286271588795,0.309855278902635,0.887476714643381,0.888888888888889,0.124994679556713,0.181815267908186,0.145406325470739,0.145175516022112,0.895071428571429,1,0.161678523778097,0.908595238095238,1,0.141194665406153,0.89386904785687,0.18929108587268,0.111731389076856,-511.849023423424,-112.96670600645
"17","yapsa_0.01",2.5981440591049,2.62772839961759,0.291377974615147,0.878647932314599,0.888888888888889,0.112746420787439,0.191369168408331,0.156764994217811,0.147531306341558,0.957566137566138,1,0.104419079078739,0.83194708994709,0.833333333333333,0.162246856465261,0.887328737632055,0.158751916494254,0.0856445679093335,-436.271214822335,-112.427748234643
"18","mp",2.59640678018254,2.62862564528668,0.32814051949422,0.874245205411872,0.888888888888889,0.14243117982044,0.194828669552905,0.156165391679302,0.150777819868123,0.830880952380952,1,0.198136145190126,0.960354497354497,1,0.10128445855401,0.879330132014874,0.291893225603396,0.148278091091135,-132.782690368624,-112.42724527379
"19","deconstruct_0.00",2.59606336054073,2.61731768213978,0.283912826569717,0.873215827382494,0.888888888888889,0.115350178306096,0.184471030993663,0.149643260340117,0.144559065139635,0.94957671957672,1,0.112794610923686,0.830957671957672,0.833333333333333,0.165663538060278,0.894204216532788,0.168841580813672,0.0993122725302889,-539.275607298473,-113.595475561857
"20","yapsa_0.06",2.58104734864399,2.61616884135478,0.342987744414362,0.864475216141883,0.888888888888889,0.147256494489763,0.19304788945125,0.153207594913686,0.150855902133842,0.821150793650794,0.833333333333333,0.202352654879751,0.952944444444444,1,0.111922048437569,0.883329041697464,0.268962241017072,0.168800797118138,-341.385685676215,-112.70588649488
