"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL"
"98","msa_thresholdx100","Liver-HCC",2.65063371268585,2.68074155281947,0.266581429487363,0.918167166167166,0.909090909090909,0.0841259428394904,0.202747239695106,0.162638469284995,0.14764578055343,0.95197619047619,1,0.093992001381937,0.901404761904762,1,0.127315627453164,0.887197281234306,0.192341459698882,0.0862190089199136
"99","yapsa_0.01","Stomach-AdenoCA",2.6502279523128,2.64530685629287,0.244901908602726,0.875548007548008,0.888888888888889,0.118665548485844,0.140522047687197,0.131286835549534,0.0859623432714717,0.966833333333333,1,0.0934587601184243,0.823916666666667,0.8,0.176592700194728,0.915205973685338,0.0956112180089961,0.0626308207177772
"100","msa_thresholdx10","Breast-AdenoCA",2.65009717181357,2.7766480595428,0.303595025083445,0.922228715728716,1,0.0992055475859948,0.20923616151976,0.162365102375336,0.161007321776141,0.923666666666667,1,0.131301436930703,0.935666666666667,1,0.107518171147131,0.870294788736008,0.20489367125977,0.0770099835994587
"101","fitms_0.100","Kidney-RCC",2.64889822907086,2.6438790268363,0.221863351903055,0.872458652458652,0.888888888888889,0.112291622525625,0.135792247119619,0.126913181319611,0.0672220485806556,0.804190476190476,0.8,0.170027315129776,0.9805,1,0.0676715096706131,0.924062301663425,0.201885778066319,0.152617176796579
"102","fitms_0.200","Kidney-RCC",2.64889822906999,2.64387902688661,0.221863351904142,0.872458652458652,0.888888888888889,0.112291622525625,0.135792247120486,0.126913181319612,0.0672220485810551,0.804190476190476,0.8,0.170027315129776,0.9805,1,0.0676715096706131,0.924062301663443,0.201885778066355,0.152617176796579
"103","msa_thresholdx100","Breast-AdenoCA",2.64723799549383,2.77216780463,0.293668725209972,0.920875901875902,1,0.0974310447346057,0.2095953378395,0.163995918052731,0.160742455665024,0.921666666666667,1,0.131649724009015,0.935166666666667,1,0.10524662394515,0.870143460091633,0.211355711911363,0.0787160370601695
"104","msa_default","Breast-AdenoCA",2.64578936091982,2.7766480595428,0.307316610398241,0.920642135642136,1,0.0988316841213587,0.210377305746848,0.162365102375336,0.162248245018768,0.924666666666667,1,0.130148839943814,0.9315,1,0.108760360137089,0.869950170651857,0.210654216213401,0.0746635990800794
"105","msa_thresholdx1000","Liver-HCC",2.64543920604766,2.68074155281947,0.270319142329548,0.915687368187368,0.909090909090909,0.0865342456164501,0.20327507966663,0.162638469284995,0.147752288603957,0.947809523809524,1,0.0994272749303163,0.900904761904762,1,0.127815093186297,0.887009166028948,0.196387323501422,0.0862190089199136
"106","musical","Ovary-AdenoCA",2.6435557976127,2.67841990097786,0.283895211544805,0.912576978576979,0.923076923076923,0.112892234941222,0.202229916673012,0.158321830123337,0.127888770233985,0.9555,1,0.11713602077292,0.890285714285714,1,0.147894078848252,0.879408723499157,0.161023468988098,0.0663552754991268
"107","msa_default","Liver-HCC",2.64283564861946,2.68074155281947,0.277497869480445,0.915001221001221,0.909090909090909,0.0903242850077542,0.204211970428154,0.162476341983312,0.14858216306009,0.930642857142857,1,0.113745645018571,0.916404761904762,1,0.124122193251285,0.885311982000745,0.223977539504491,0.0922817179271174
"108","msa_thresholdx1000","Breast-AdenoCA",2.64171187258892,2.73895613987399,0.302171597225123,0.918577922077922,1,0.0985405436841627,0.211121460744411,0.163995918052731,0.16146650316456,0.921166666666667,1,0.132210232034232,0.931666666666667,1,0.108775967009619,0.869610280200252,0.209637065410399,0.0826476251954709
"109","yapsa_0.03","Liver-HCC",2.64132293920213,2.67836405738568,0.259272118011268,0.913497724497724,0.909090909090909,0.0856950161948623,0.203296108416918,0.173470848988877,0.144848380429186,0.936642857142857,1,0.109659605360625,0.90797619047619,1,0.122787515552614,0.887688864695537,0.182706462065981,0.130013439292658
"110","fitms_0.010","Kidney-RCC",2.63771540728593,2.63399209950496,0.240022542599185,0.873641192141192,0.888888888888889,0.118550488124258,0.147975068904547,0.134321083071746,0.0765387303076694,0.815023809523809,0.8,0.174394370425239,0.970666666666667,1,0.0863955874501944,0.91597771897711,0.200983449105511,0.149562922861402
