"Mutation type","ID1","ID2","ID3","ID5","ID6","ID7","ID8","ID14"
"INS_repeats_3_3",0.000166702,3.02e-06,1.36e-05,1.02e-05,0.000249737,0.000177833,3.79e-05,0.000327493
"INS_repeats_3_4",8.89e-05,0.000141807,1.56e-06,1.18e-05,0.000155952,0.000415609,0.000122041,0.00060186
"INS_repeats_3_5+",0.001248696,0.001864707,4.12e-18,0.000102574,1.98e-05,0.000769276,3.66e-05,0.002205997
"INS_repeats_4_0",3.31e-18,1.68e-05,4.12e-18,0.002439186,0.001467917,1e-18,0.000777758,0.00594693
"INS_repeats_4_1",0.000744381,0.001203728,0.000175982,0.003612298,0.000476283,2.61e-05,0.001103901,0.001326926
"INS_repeats_4_2",7.55e-05,1.22e-05,2.74e-05,0.000376459,0.000528663,0.000194817,7.99e-05,8.45e-05
"INS_repeats_4_3",0.000157544,0.000134169,4.77e-05,1.87e-06,0.000334824,0.000273742,8.58e-06,0.000713852
"INS_repeats_4_4",0.000319653,0.000249385,4.18e-06,6.41e-06,5.6e-05,0.000258757,0.000205515,0.00166501
"INS_repeats_4_5+",0.00100132,0.002193545,3.29e-05,0.000635977,0.000106861,8.74e-06,0.000885225,0.000274449
"INS_repeats_5+_0",3.31e-18,3.95e-18,8.83e-05,0.004750071,0.008716781,1e-18,0.000318329,0.002712141
"INS_repeats_5+_1",0.001443126,0.000135658,0.00065622,0.004793431,0.005405643,1e-18,0.009761114,0.026455525
"INS_repeats_5+_2",0.000254832,5.53e-06,5.51e-06,0.000298796,0.001321843,8.84e-06,0.000101153,0.000488313
"INS_repeats_5+_3",0.000237087,9.77e-05,3.32e-05,0.000165546,2.88e-05,4.46e-06,7.09e-05,0.000103831
"INS_repeats_5+_4",0.000261865,2.15e-06,7.87e-06,0.000126707,4.83e-05,1.06e-05,6.74e-06,0.000157593
"INS_repeats_5+_5+",0.000119834,0.000115629,3.48e-06,0.000626342,6.17e-05,4.28e-06,0.000190551,2.15e-05
"DEL_MH_2_1",0.001197815,0.000175553,0.006930764,0.028687946,0.000632866,0.003127058,0.004913672,0.002640925
"DEL_MH_3_1",8.19e-05,5.46e-07,0.000344612,0.013157147,0.000990097,0.00025476,0.009290337,0.001575173
"DEL_MH_3_2",0.001479593,0.002944063,0.00030285,0.00900421,0.00443363,0.004635639,0.004302693,0.003236935
"DEL_MH_4_1",8.38e-05,0.000147005,7.35e-05,0.008732202,0.002745395,0.000183827,0.005809551,8.2e-06
"DEL_MH_4_2",0.000145479,0.000550614,0.000340216,0.006047187,0.00868271,0.001019041,0.001591587,0.000950493
"DEL_MH_4_3",0.000160684,0.000693566,0.000130463,0.003442442,0.004773094,0.000717325,0.001098342,0.002230434
"DEL_MH_5+_1",8.16e-07,0.000624963,0.001369634,0.008617073,0.071066579,2.36e-05,0.28072426,0.006551706
"DEL_MH_5+_2",2.38e-10,0.000117708,0.001751272,0.007851021,0.253108348,0.000245769,0.123610163,0.004498634
"DEL_MH_5+_3",2.33e-12,5.67e-05,0.000774958,0.007157975,0.216806033,6.16e-05,0.046130408,0.001404487
"DEL_MH_5+_4",3.88e-05,0.000462842,0.000640555,0.002492549,0.120483943,6.82e-05,0.016367256,0.000100143
"DEL_MH_5+_5+",0.000665116,0.002367319,0.00036297,0.001112367,0.099282999,0.001738365,0.012814882,0.000931512
