Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.21	126	0.813	90.826	72.084%	21.038	58.349%	0.44191	0.774
Ovary-AdenoCA::S.22	108	0.798	73.766	68.302%	25.062	61.438%	0.4784	0.776
Ovary-AdenoCA::S.23	30	0.764	28.673	95.577%	7.401	75.536%	0.83352	0.738
Ovary-AdenoCA::S.24	455	0.996	109.577	24.083%	39.809	12.559%	0.09854	0.996
Ovary-AdenoCA::S.25	130	0.961	55.784	42.911%	10.511	27.699%	0.23696	0.954
Ovary-AdenoCA::S.26	202	0.974	83.909	41.539%	22.091	27.966%	0.19466	0.973
Ovary-AdenoCA::S.27	461	0.947	253.613	55.014%	68.847	42.828%	0.47621	0.944
Ovary-AdenoCA::S.28	214	0.883	127.963	59.796%	54.868	47.71%	0.31286	0.878
Ovary-AdenoCA::S.29	169	0.914	107.904	63.849%	25.015	46.492%	0.41062	0.904
Ovary-AdenoCA::S.30	201	0.982	85.076	42.326%	23.045	19.228%	1.29905	0.982
Ovary-AdenoCA::S.31	187	0.764	178.577	95.496%	69.24	66.305%	3.97619	0.753
Ovary-AdenoCA::S.32	59	0.918	38.843	65.836%	10.446	41.519%	0.43721	0.913
Ovary-AdenoCA::S.33	50	0.935	40.022	80.044%	10.124	48.264%	0.76323	0.933
Ovary-AdenoCA::S.34	33	0.842	27.548	83.479%	13.522	79.267%	0.76086	0.838
Ovary-AdenoCA::S.35	72	0.65	71.159	98.832%	18.366	78.171%	3.756	0.592
Ovary-AdenoCA::S.36	279	0.969	192.155	68.873%	51.188	41.501%	0.90164	0.969
Ovary-AdenoCA::S.37	468	0.989	176.693	37.755%	70.462	18.13%	0.28775	0.989
Ovary-AdenoCA::S.38	42	0.473	56.409	134.307%	28.433	124.21%	1.31393	0.457
