Sample,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.25,0.0,0.0,0.0,3725.919213117214,32040.077854339812,3762.990945632304,1723.388033525806,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.26,0.0,9539.009496662888,6015.845514131483,2513.1156829394386,56534.04705787798,1157.6345493764964,2476.5433129259704,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.27,177.15566503129583,0.0,1510.0348773160483,18530.837446521266,919.5919955210775,4338.523547771171,0.0,0.0,233.49328500211692,0.0,0.0,2471.3934347673103
Skin-Melanoma::S.28,0.0,2193.3134035167436,3745.2731926820093,0.0,39412.351167669716,6711.9129923177225,3479.691439357183,0.0,1237.2154433502858,0.0,1140.3679237359797,0.0
Skin-Melanoma::S.29,433.8021427190159,0.0,2488.379020188088,47307.03994718394,2017.6760897109714,18578.69790516443,851.0145534425259,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.30,0.0,0.0,0.0,0.0,182928.53314402228,0.0,4095.9843031134506,0.0,0.0,0.0,0.0,23142.87367141717
Skin-Melanoma::S.31,671.5730349715203,0.0,659.126377896583,0.0,0.0,373.0431596420608,1685.494049724445,547.0124369014692,0.0,0.0,88.81217719940899,2264.129167147613
Skin-Melanoma::S.32,0.0,0.0,7917.580963513209,2098.45316225719,317.8086817915236,2390.335532959086,23293.6353356927,905.461226629893,0.0,0.0,213.45856965107416,2220.2319647632116
Skin-Melanoma::S.33,2062.4169500903454,20266.26316291957,6111.429254170498,53946.20796390757,29141.971149351808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.34,0.0,0.0,1376.3259836206648,4465.9547119459685,25997.266445933623,734.087458805802,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.35,1370.3827685673755,507.43828706765765,6964.838633492497,60910.73605410652,0.0,0.0,2647.082442745603,0.0,0.0,0.0,0.0,3109.9973963125913
Skin-Melanoma::S.36,0.0,1207.1019708746994,0.0,44413.77572833932,0.0,14224.664906228316,721.9549349217147,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.37,0.0,0.0,2021.8953442970387,0.0,2481.2754571878427,1395.3057137690082,5193.863577007903,0.0,0.0,0.0,0.0,2824.6143992010107
