Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
INS_repeats_5+_5+,15.82717876112702,-9.171741438634069,2.3898694779080296,2.625097478152165,-5.179497726545012,9.014459399585222,7.9837436698320285,15.731329173779542,-6.804892159442911,6.417516766912359
DEL_MH_2_1,-17.15813906518119,-27.535883898086723,-93.80364353663033,-7.233050445246484,-216.00532632790186,-32.67408133604837,-160.36083832935424,15.326051678085125,-21.887588738020312,-18.55192223942103
DEL_MH_3_1,-0.34938297148594977,0.0900544570772055,-43.06052754332852,0.5383507232442772,-99.40310148766076,-0.7538117592718052,-74.95927268836334,1.0706483675283196,2.008465235228744,-2.77006710031186
DEL_MH_3_2,67.57893575453431,-274.21987933862704,-28.313488315993936,-203.07311825574334,75.47745488745335,-126.20427542113859,3.821592010953566,81.67148180739335,136.39489264976288,-42.93237124634412
DEL_MH_4_1,-0.11173599037505788,-14.463890140645091,-24.11073089345401,-11.100826153510809,-52.49345686686297,-11.296677781804188,-44.908482221969194,1.237999600324935,1.0895706671265302,-3.024928197638463
DEL_MH_4_2,-20.426022390556952,-40.85037632652403,-13.968233642260344,-34.16620788788245,-43.185903570129355,10.43688839419714,-49.79191481751971,29.279308185285267,-38.80037541041787,20.407430132867187
DEL_MH_4_3,28.880444334719726,-50.35834422241801,8.660350757726839,-30.659679361951078,-53.673232281895494,-36.00793263056946,-0.9231203935100325,18.51202118299325,-68.81610443552664,33.645494688348705
DEL_MH_5+_1,-1.0755208972347035,-19.93868520607223,-28.807000962020595,-2.6098133506344823,-106.95331566133487,12.849568332084658,33.25380167480073,-23.61045016467525,-58.66728633357583,49.25557704277759
DEL_MH_5+_2,-1.4289750992547088,-4.662299444757426,-28.20069977308662,-7.5429257671855865,-55.938599387097156,-7.091867950469748,-39.1017142712529,-3.0820210286759746,-11.739229665629274,7.4653061922658805
DEL_MH_5+_3,-3.5419400327075836,-0.6177326855093375,-24.932536232711918,-4.04193142735607,-54.66419887537997,-3.107556597555959,-30.563759115861117,-0.41141169344850104,-0.13648901251457168,0.4764912110317019
DEL_MH_5+_4,4.305604135183032,-2.736747137135552,-10.098521344657154,12.014834052337918,-4.6534769467165376,6.842734112245502,-1.1810554680066332,-13.272063410041522,-28.481388534805838,22.00931816202107
DEL_MH_5+_5+,74.76322878115707,-153.6211375683081,73.94608658910806,-156.65831787826482,-2.820235202796738,-11.66084904746819,34.384703889484314,49.287355853923515,1.9768286773764316,16.15571956631939
