Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
DEL_T_1_4,3842.943984493348,4765.79959099432,1787.8472115080458,5094.621390621578,5060.600992406084,4007.635756803831,3167.922312348939,2881.9920897865936,5253.3181277382155,1708.1002263921366
DEL_T_1_5+,65261.126930919076,80718.715521018,20470.530609662634,86813.83980594623,80905.51150488736,54780.19863753331,48891.471885177525,49017.06541575504,88172.49530002076,19098.293108647933
INS_C_1_0,3.691816642411761e-13,4.663631884181261e-13,3.5273070074455064,4.776319059924279e-13,4.0945209186615115,3.2205024342583366,3.043306822401816,2.738878751892132e-13,5.4601298428849e-13,2.1211889196630773
INS_C_1_1,18.18586354734073,22.493322061932947,9.800160230931326,24.191807879793842,31.866033324213134,15.390708747591388,20.551948245757462,13.659244102321257,24.57041494015372,5.404644082698541
INS_C_1_2,2.0987447470348672,2.5958482201274666,11.005251952429848,2.7918624582673797,26.39252060628425,1.8852633913756,19.255036482307172,1.576348944529808,2.8355557135836924,0.6955796002847826
INS_C_1_3,47.93571975430262,61.77855930101421,23.705017705374956,60.323090226366986,47.13724141159767,55.91081237199934,40.29939037199861,35.13479061521145,76.83382223139955,37.8564390968261
INS_C_1_4,261.7174804810301,328.9602756939654,123.84175305570106,340.88264467833505,289.8338371013646,302.5977047605781,198.87566345005305,194.73896915358472,379.07229001950014,159.7034975467542
INS_C_1_5+,1109.6817492663135,1443.9989999975096,519.3537138484895,1377.2594878766351,896.2238828806023,1339.427472791684,863.3117513173472,808.5058666243351,1845.8850985502968,981.3038854431176
INS_T_1_0,142.83227101671227,183.3822138831469,66.63864187806979,180.70686888219626,179.59751129245848,131.07897874044153,145.38621354978287,104.93328287994191,225.55873641128446,85.62428137350656
INS_T_1_1,0.6424606149417537,0.913195465997299,45.12405500282136,0.6905952219957749,101.65623084487751,2.526243712818962,76.09080235322172,0.44113541157182196,1.4429479638855292,2.1400577796985427
