Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.69,573.3635012956873,5631.763248430683,0.0,16409.763195920175,4102.613794877164,0.0,1098.416023604069,0.0,0.0,3126.7768572849786,0.0,5318.026046062227
Lung-AdenoCA::S.70,776.9186343178994,0.0,0.0,11380.728193385841,0.0,0.0,458.9436964850644,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.71,641.5170890492311,0.0,1941.568336573527,0.0,0.0,0.0,2013.9885023247268,0.0,0.0,0.0,0.0,16656.99961585192
Lung-AdenoCA::S.72,185.22273422861318,1338.8058219732923,0.0,0.0,1903.653584674525,0.0,2456.0797946215544,0.0,0.0,0.0,0.0,969.7675568793933
Lung-AdenoCA::S.73,0.0,0.0,4923.275103069912,19746.04705155871,0.0,0.0,0.0,0.0,0.0,3191.0796831370426,0.0,0.0
Lung-AdenoCA::S.74,770.2696487978207,9919.371766172299,0.0,18029.984168520623,9770.105799895375,0.0,0.0,1581.929796534862,0.0,0.0,0.0,8875.337696257966
Lung-AdenoCA::S.75,874.9346547445633,0.0,0.0,17075.875787988913,50844.32930467822,0.0,659.1419438720401,0.0,0.0,0.0,573.652360422362,0.0
Lung-AdenoCA::S.76,280.36616530857435,0.0,0.0,0.0,890.8088006852611,0.0,0.0,0.0,0.0,35.24129125415151,14.482485559764564,0.0
Lung-AdenoCA::S.77,0.0,2758.7555196108588,0.0,44808.22962969683,0.0,0.0,0.0,0.0,0.0,2121.438106840347,0.0,15983.526034124205
Lung-AdenoCA::S.78,147.93726324595366,0.0,0.0,0.0,5334.317839169145,0.0,0.0,0.0,0.0,0.0,0.0,4864.016205023269
Lung-AdenoCA::S.79,1085.3107325645549,0.0,0.0,0.0,5896.724746566395,0.0,0.0,0.0,0.0,0.0,105.58702044328727,1256.1026292175725
Lung-AdenoCA::S.80,168.75031975658285,0.0,0.0,0.0,2121.5604086108256,0.0,0.0,0.0,0.0,0.0,32.03439810872662,0.0
Lung-AdenoCA::S.81,0.0,0.0,4051.931739816887,23688.259225028713,10076.201571166483,0.0,0.0,0.0,0.0,2834.481690604383,0.0,0.0
Lung-AdenoCA::S.82,0.0,0.0,10068.295723692976,12966.614849620042,3009.8814361970144,0.0,1841.813781236588,0.0,0.0,2622.641011130792,0.0,0.0
Lung-AdenoCA::S.83,0.0,0.0,2870.0492835765795,0.0,5028.883250587352,0.0,6475.9894478214055,0.0,0.0,1119.7422499350967,0.0,0.0
Lung-AdenoCA::S.84,0.0,1523.2157691823052,0.0,53813.19530593891,0.0,0.0,0.0,0.0,0.0,9581.105043244757,0.0,9274.30044928937
Lung-AdenoCA::S.85,389.29751471984264,3952.4083851725904,0.0,8249.716231430766,6395.6407226987,0.0,1314.3140836059479,0.0,0.0,2299.218340623519,0.0,0.0
Lung-AdenoCA::S.86,292.5463974804114,0.0,0.0,17045.22742919537,2162.3128196416365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.87,516.5906760908871,0.0,4007.7529491430532,0.0,0.0,0.0,2679.878558681926,0.0,0.0,360.29958655016105,0.0,0.0
Lung-AdenoCA::S.88,0.0,0.0,0.0,11798.02799038134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9229.870919898467
Lung-AdenoCA::S.89,0.0,0.0,0.0,25262.752945307973,0.0,0.0,0.0,0.0,1399.6244211481635,0.0,0.0,12728.023188486542
Lung-AdenoCA::S.90,733.4257363136016,0.0,0.0,0.0,7926.163199952585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.91,778.4117532388811,0.0,0.0,2186.5982452059143,1534.628495138313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.92,0.0,3158.804055952836,0.0,40469.146595759055,8744.724446834522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.93,0.0,2664.220647878577,0.0,50793.459459410726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.94,701.1524707682873,0.0,2103.0567381471574,1567.7071392307266,0.0,0.0,3350.3091093045755,0.0,0.0,0.0,0.0,8254.791441361265
Lung-AdenoCA::S.95,399.9185476428237,4405.146908899266,0.0,7458.843618708639,0.0,0.0,0.0,0.0,0.0,1909.3984542627086,294.82504561201654,7509.005113406106
Lung-AdenoCA::S.96,0.0,0.0,0.0,51159.75593574916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5354.206679981106
Lung-AdenoCA::S.97,592.0741456488545,0.0,0.0,0.0,25368.245340330184,0.0,10063.660255428624,1563.1006061995256,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.98,665.4480997528236,0.0,0.0,0.0,4939.998866811901,0.0,84.64629073226297,0.0,0.0,507.97750311324404,0.0,0.0
Lung-AdenoCA::S.99,379.6623660710084,0.0,0.0,29551.000523681007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.100,0.0,2358.6468670473228,0.0,0.0,21516.32810966858,0.0,398.4486691661942,0.0,4861.465919320957,0.0,1553.492756087984,3226.692366873584
