MutationType	DBS2	DBS4	DBS6	DBS7	DBS9	DBS11
TG>GC	0.00027206	0.00060427	0.00560120	0.00387832	0.00390870	0.00611958
TG>GT	0.00640136	0.00003230	0.02740588	0.00870623	0.00333889	0.00523964
TT>AA	0.00431091	0.00001800	0.00019304	0.23489828	0.00034089	0.00476968
TT>AC	0.00034507	0.00000066	0.00012803	0.03998269	0.00665779	0.00103993
TT>AG	0.00021505	0.00000000	0.00212045	0.05387667	0.00091769	0.00126991
TT>CA	0.00000000	0.00000000	0.00000000	0.09765771	0.00000000	0.00201986
TT>CC	0.00000298	0.00000000	0.00000000	0.03538468	0.00515828	0.00399973
TT>CG	0.00001520	0.00000000	0.00001120	0.00266884	0.00001980	0.00000000
TT>GA	0.00004790	0.00000000	0.00000000	0.04358113	0.00000000	0.00070695
TT>GC	0.00000154	0.00000000	0.00000041	0.00366841	0.00003560	0.00000578
TT>GG	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
