Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Kidney-RCC::S.80	282	0.781	270.266	95.839%	89.892	65.314%	4.89701	0.771
Kidney-RCC::S.81	85	0.972	31.255	36.771%	8.63	23.926%	0.30188	0.97
Kidney-RCC::S.82	263	0.868	168.561	64.092%	36.294	49.653%	0.3901	0.839
Kidney-RCC::S.83	64	0.953	29.333	45.833%	9.324	32.601%	0.30012	0.95
Kidney-RCC::S.84	134	0.812	103.899	77.537%	19.732	59.226%	1.31459	0.758
Kidney-RCC::S.85	77	0.722	64.295	83.5%	13.305	74.031%	0.66048	0.635
Kidney-RCC::S.86	178	0.913	121.097	68.032%	26.382	40.874%	0.48616	0.904
Kidney-RCC::S.87	162	0.876	139.091	85.859%	27.972	50.683%	2.67452	0.861
Kidney-RCC::S.88	86	0.978	35.33	41.081%	9.554	21.714%	0.2462	0.977
Kidney-RCC::S.89	108	0.872	69.731	64.566%	12.11	50.112%	1.05472	0.827
Kidney-RCC::S.90	52	0.659	51.97	99.942%	11.739	76.093%	2.21597	0.585
Kidney-RCC::S.91	126	0.974	51.626	40.973%	8.933	22.883%	0.34225	0.969
Kidney-RCC::S.92	283	0.875	203.846	72.03%	39.642	49.106%	1.43244	0.85
Kidney-RCC::S.93	177	0.872	111.61	63.056%	19.997	50.711%	0.37168	0.828
Kidney-RCC::S.94	18	0.877	11.829	65.717%	3.816	50.993%	0.59146	0.868
Kidney-RCC::S.95	164	0.824	137.555	83.875%	30.025	70.535%	0.61535	0.796
Kidney-RCC::S.96	162	0.945	88.072	54.365%	29.222	37.877%	0.31096	0.942
Kidney-RCC::S.97	143	0.878	77.179	53.971%	18.453	47.95%	0.33525	0.85
