Samples	SBS1	SBS4	SBS5	SBS9	SBS12	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS22	SBS24	SBS29	SBS30	SBS31	SBS35	SBS40
Liver-HCC::S.85	0	5035	3513	0	4385	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.86	0	0	11287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.87	0	2220	9567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.88	73	0	8430	0	3730	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.89	62	0	3038	0	2808	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.90	142	0	12884	0	5650	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.91	49	2944	9829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.92	0	0	7074	0	2499	1830	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.93	428	0	5747	0	1409	0	0	0	2186	0	0	0	0	0	0	0	0
Liver-HCC::S.94	0	3023	8196	0	2670	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.95	15	1840	3886	0	3218	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.96	106	0	15736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.97	0	0	7484	0	2063	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.98	247	0	7675	0	4015	0	0	0	0	0	0	0	2764	0	0	0	0
Liver-HCC::S.99	41	0	8027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
