"Mutation type","ID1","ID2","ID4","ID5","ID6","ID8","ID9"
"DEL_repeats_5+_3",1.89e-05,0.000158151,0.00118248,0.000257167,0.000168175,8.16e-06,6.12e-06
"DEL_repeats_5+_4",3.11e-06,8.47e-05,0.000146923,9.73e-05,5.32e-05,0.000112898,7.25e-06
"DEL_repeats_5+_5+",3.13e-05,2.12e-05,0.000106174,0.000585018,1.15e-05,4.43e-05,2.99e-05
"INS_repeats_2_0",0.000402036,0.000331853,0.000492922,0.006349454,0.001998387,0.00191671,0.001162339
"INS_repeats_2_1",7.88e-06,0.000271665,0.000553302,0.018387642,0.000208533,0.001661816,0.002100192
"INS_repeats_2_2",0.000221347,0.001035341,0.000266335,0.007207952,0.000790414,0.000304586,0.000760941
"INS_repeats_2_3",0.000514268,0.000381326,0.000137794,0.001172292,0.000499074,0.000177583,0.000351635
"INS_repeats_2_4",0.0029131,0.001977423,7.19e-05,6.88e-05,0.000189469,1.66e-05,3.07e-05
"INS_repeats_2_5+",0.018121584,0.013633376,0.000103689,0.000994122,0.000748642,0.001764384,5.41e-18
"INS_repeats_3_0",3.06e-07,5.78e-05,2.63e-05,0.003792478,0.001219185,0.000667863,0.000254573
"INS_repeats_3_1",0.000254695,0.00122705,0.000450983,0.006122761,0.000288615,0.000671723,0.000823355
"INS_repeats_3_2",4.41e-05,0.000210075,0.000600335,0.001143468,0.000746533,0.000135768,0.000118261
"INS_repeats_3_3",0.000166702,3.02e-06,7.42e-05,1.02e-05,0.000249737,3.79e-05,5.18e-06
"INS_repeats_3_4",8.89e-05,0.000141807,7.4e-05,1.18e-05,0.000155952,0.000122041,1.61e-05
"INS_repeats_3_5+",0.001248696,0.001864707,3.96e-05,0.000102574,1.98e-05,3.66e-05,5.41e-18
"INS_repeats_4_0",3.31e-18,1.68e-05,0.000166645,0.002439186,0.001467917,0.000777758,0.000164387
"INS_repeats_4_1",0.000744381,0.001203728,0.001266435,0.003612298,0.000476283,0.001103901,0.000715565
"INS_repeats_4_2",7.55e-05,1.22e-05,9.84e-05,0.000376459,0.000528663,7.99e-05,4.24e-05
"INS_repeats_4_3",0.000157544,0.000134169,5.25e-05,1.87e-06,0.000334824,8.58e-06,2.15e-05
