"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"75","pasa","ColoRect-AdenoCA",2.60696156863908,2.66700561009818,0.362163243832438,0.870829725829726,0.888888888888889,0.135230672689472,0.172681288503776,0.126463026622196,0.173514208499381,0.83147619047619,0.8,0.177679697485803,0.948166666666667,1,0.134420963806477
"76","deconstruct_0.10","Lung-AdenoCA",2.60236090630788,2.79811285486595,0.491004110763414,0.875666666666667,1,0.163151826586522,0.207639093692124,0.0445120492409606,0.346111020027748,0.853333333333333,1,0.223832549243871,0.956666666666667,1,0.141381670153678
"77","msa_thresholdx100","Breast-AdenoCA",2.6011763281207,2.65306210964608,0.226202304510937,0.939293650793651,1,0.0770551694636419,0.290990338545966,0.266954022988506,0.132155505159113,0.9105,1,0.121846414890011,0.981666666666667,1,0.0637625012500024
"78","yapsa_0.01","Skin-Melanoma",2.59945435141542,2.8834169272026,0.429328245377627,0.866666666666667,1,0.164121987972444,0.200545648584576,0.10238408032467,0.22056840897488,1,1,0,0.8,1,0.246182981958665
"79","msa_default","Breast-AdenoCA",2.59932050929414,2.65123237158753,0.227424433288293,0.9385,1,0.0766993799193781,0.29134615737253,0.266954022988506,0.132619100407703,0.909,1,0.121448884926259,0.981666666666667,1,0.0637625012500024
"80","yapsa_0.03","Breast-AdenoCA",2.59753103071843,2.65345003543571,0.237959748148923,0.936968253968254,1,0.085972374049544,0.29046896928157,0.26234987319129,0.131414837082713,0.920833333333333,1,0.126050579519025,0.967166666666667,1,0.0829267860938301
"81","msa_thresholdx1000","Breast-AdenoCA",2.59510628446379,2.64217557251908,0.229193155838838,0.93618253968254,1,0.0779417908440374,0.291727048869541,0.266954022988506,0.132611566954239,0.905166666666667,1,0.124015652862379,0.981666666666667,1,0.0637625012500024
"82","msa_thresholdx10","Breast-AdenoCA",2.59265173900925,2.62501413627368,0.229077740584764,0.935071428571429,1,0.0778147189220917,0.292181594324087,0.266954022988506,0.132623685114616,0.903166666666667,1,0.124083508862851,0.981666666666667,1,0.0637625012500024
"83","yapsa_0.10","Liver-HCC",2.58678686464112,2.76838424947941,0.412805675409644,0.91,1,0.150978848831923,0.269879802025542,0.217202262989168,0.213567764525642,0.945,1,0.151785113033922,0.911666666666667,1,0.184188394744886
"84","yapsa_0.06","Kidney-RCC",2.58591133867112,2.722366086504,0.339105009146548,0.897404761904762,1,0.141257313759442,0.249921994662211,0.209191697521582,0.173847390396405,0.9,1,0.171642883514812,0.935833333333333,1,0.157070098085799
"85","fitms_0.005","ColoRect-AdenoCA",2.58362052408593,2.61931686669547,0.318794075659896,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580741,0.150815040285976,0.173098491269997,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"86","fitms_0.050","ColoRect-AdenoCA",2.58362052408592,2.61931686669547,0.318794075659906,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580743,0.150815040285972,0.173098491270001,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"87","fitms_0.010","ColoRect-AdenoCA",2.58362052408592,2.61931686669547,0.318794075659907,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580746,0.150815040285973,0.17309849127,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"88","fitms_0.001","ColoRect-AdenoCA",2.58362052408592,2.61931686669547,0.318794075659906,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580747,0.150815040285972,0.173098491270003,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"89","fitms_0.030","ColoRect-AdenoCA",2.58362052408592,2.61931686669547,0.318794075659904,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580752,0.150815040285974,0.173098491270001,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"90","fitms_0.060","ColoRect-AdenoCA",2.58362052408591,2.61931686669547,0.318794075659904,0.863117160617161,0.888888888888889,0.149329371189447,0.189046142580753,0.150815040285972,0.173098491270001,0.82152380952381,0.8,0.202328437291441,0.951142857142857,1,0.11194823794963
"91","musical","Stomach-AdenoCA",2.57966076593842,2.67150111400738,0.287928620024384,0.917366522366522,1,0.101567352404847,0.274220186442531,0.240891428930118,0.163280499277892,0.961,1,0.101758389931428,0.892880952380952,1,0.142127967101841
"92","yapsa_0.06","Liver-HCC",2.5711315935125,2.75789646726165,0.432635175890636,0.899,1,0.165243418039531,0.27470173982083,0.223292012073439,0.224618696268943,0.968333333333333,1,0.117720111668984,0.8775,1,0.216289168682433
"93","msa_default","Ovary-AdenoCA",2.57076311802004,2.70980861244019,0.39324355785383,0.908753968253968,1,0.136718512660096,0.282070215313294,0.215059979765862,0.217414872331226,0.9195,1,0.162887369596178,0.933333333333333,1,0.156239477760182
"94","musical","Ovary-AdenoCA",2.56100568029301,2.67173934769308,0.338507166445189,0.902619047619048,1,0.13800391456031,0.280160986373659,0.228798146243517,0.191432473658165,0.977166666666667,1,0.0867370537793191,0.864,1,0.196071404112538
"95","msa_thresholdx1000","Kidney-RCC",2.54948479672957,2.63478975405191,0.367482352808839,0.87918253968254,1,0.161213611182297,0.255181869937097,0.209589434395636,0.182435457859995,0.929166666666667,1,0.164282185168193,0.8755,1,0.185129781274388
"96","msa_default","Kidney-RCC",2.54677500651978,2.60793180807631,0.366060631035736,0.877753968253968,1,0.160764518858902,0.255391660146887,0.209589434395636,0.182297269452978,0.929166666666667,1,0.164282185168193,0.873,1,0.185119550658256
"97","msa_thresholdx1000","Liver-HCC",2.54493471139052,2.75456244807533,0.420116980550518,0.881047619047619,1,0.162528831483033,0.275065288609481,0.216193923841818,0.222500149448189,0.995,1,0.05,0.825,1,0.22737091032979
"98","msa_thresholdx100","Liver-HCC",2.54419770404375,2.75456244807533,0.419707265136513,0.880380952380952,1,0.161061209653346,0.274135629289578,0.214738594880772,0.222778491890882,0.995,1,0.05,0.823333333333333,1,0.225443819664492
"99","yapsa_0.03","Kidney-RCC",2.54327286241291,2.59917136088699,0.36583309828419,0.878920634920635,1,0.151760665664525,0.256393804253755,0.221392621995092,0.176286684316068,0.930833333333333,1,0.148436955445277,0.868833333333333,1,0.195138084580822
