Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Lung-AdenoCA::S.70,msa_thresholdx1000,23,0.2,1,1,1,2.8,1,0.2,0,Lung-AdenoCA
Lung-AdenoCA::S.71,msa_thresholdx1000,223,0.242919389978213,1,1,1,2.75708061002179,1,0.242919389978213,0,Lung-AdenoCA
Lung-AdenoCA::S.72,msa_thresholdx1000,1012,0.233610341643583,1,1,1,2.76638965835642,1,0.233610341643583,0,Lung-AdenoCA
Lung-AdenoCA::S.73,msa_thresholdx1000,9,0.147540983606557,1,1,1,2.85245901639344,1,0.147540983606557,0,Lung-AdenoCA
Lung-AdenoCA::S.74,msa_thresholdx1000,119,0.646739130434783,0.5,1,0.666666666666667,1.85326086956522,1,0.517447247614935,3.92881549826569,Lung-AdenoCA
Lung-AdenoCA::S.75,msa_thresholdx1000,633,0.244684963277928,1,1,1,2.75531503672207,1,0.244684963277928,0,Lung-AdenoCA
Lung-AdenoCA::S.76,msa_thresholdx1000,84,1,0,1,0,1,1,1,,Lung-AdenoCA
Lung-AdenoCA::S.77,msa_thresholdx1000,118,0.270022883295195,0.5,1,0.666666666666667,2.22997711670481,1,0.193143687377658,0.927045587246155,Lung-AdenoCA
Lung-AdenoCA::S.78,msa_thresholdx1000,149,0.157838983050847,1,1,1,2.84216101694915,1,0.157838983050847,0,Lung-AdenoCA
Lung-AdenoCA::S.79,msa_thresholdx1000,79,0.162886597938144,1,1,1,2.83711340206186,1,0.162886597938144,0,Lung-AdenoCA
Lung-AdenoCA::S.80,msa_thresholdx1000,400,0.174978127734033,1,1,1,2.82502187226597,1,0.174978127734033,0,Lung-AdenoCA
Lung-AdenoCA::S.81,msa_thresholdx1000,238,0.166201117318436,0.666666666666667,1,0.8,2.50046554934823,1,0.123376286716557,0.239924189047394,Lung-AdenoCA
