MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
TC>GT	0.00008570	0.04338170	0.00000000	0.00000000	0.00000000	0.00027590	0.00000000	0.04590199
TG>AA	0.00296063	0.00006680	0.00763342	0.02550547	0.02259022	0.00864692	0.01579474	0.00142006
TG>AC	0.00022005	0.00008040	0.00011805	0.01010217	0.00261887	0.00384863	0.00726758	0.00020701
TG>AT	0.00429091	0.00095760	0.00000000	0.22104743	0.00128944	0.00821708	0.00074575	0.00250011
TG>CA	0.00014403	0.01589330	0.00080436	0.01140245	0.02388965	0.00505820	0.02279242	0.02920127
TG>CC	0.00005940	0.00048380	0.00012005	0.00789169	0.00104955	0.00124956	0.01179607	0.00019001
TG>CT	0.00307065	0.00606744	0.00008210	0.27505902	0.00000000	0.01949307	0.00096768	0.00433019
TG>GA	0.00147031	0.00052278	0.00785352	0.00744160	0.00824643	0.00027090	0.00617794	0.00002020
TG>GC	0.00027206	0.00049779	0.00060427	0.00560120	0.00387832	0.00353874	0.00390870	0.00000000
TG>GT	0.00640136	0.01029566	0.00003230	0.02740588	0.00870623	0.00785721	0.00333889	0.00217009
TT>AA	0.00431091	0.00321864	0.00001800	0.00019304	0.23489828	0.00357873	0.00034089	0.01450063
TT>AC	0.00034507	0.00242898	0.00000066	0.00012803	0.03998269	0.00000000	0.00665779	0.00000000
TT>AG	0.00021505	0.02289035	0.00000000	0.00212045	0.05387667	0.01459481	0.00091769	0.00696030
TT>CA	0.00000000	0.00069371	0.00000000	0.00000000	0.09765771	0.00628776	0.00000000	0.00129006
TT>CC	0.00000298	0.00815656	0.00000000	0.00000000	0.03538468	0.00029390	0.00515828	0.00288012
TT>CG	0.00001520	0.03178660	0.00000000	0.00001120	0.00266884	0.00011596	0.00001980	0.00858037
TT>GA	0.00004790	0.01229482	0.00000000	0.00000000	0.04358113	0.00362871	0.00000000	0.00869038
TT>GC	0.00000154	0.06647197	0.00000000	0.00000041	0.00366841	0.00028590	0.00003560	0.02580112
TT>GG	0.00000000	0.17092792	0.00000000	0.00000000	0.00000000	0.00053781	0.00000000	0.08470367
