Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15
DEL_repeats_2_2,65.36506320845295,40.29077526101968,95.37929362484545,123.43651910059329,156.42277505865619,236.20010041597428,29.39862524208022,68.4794860411534,131.69947508360815,149.0766920070142,427.47327419246363,87.23190145931827,128.22454602743827,83.26810920875316,174.16905815151682
DEL_repeats_2_3,25.05378922826678,19.63576596369269,41.40661212179828,44.74479891480372,64.47833874202726,94.97796190556627,15.674376459315694,21.673695864021855,61.13019499993973,60.40547847131009,181.85387232777146,32.099081380147716,56.257836232911686,29.749082827943585,86.68075509837041
DEL_repeats_2_4,27.12764358209301,16.67161616753847,37.85499972245272,53.571895988467375,73.16796878863829,112.19754131774647,9.151257401018913,24.390939079671547,56.68834772137566,70.48220823964311,195.8978461719285,34.6386351652961,57.53376668841023,33.97152648228105,70.77576863312308
DEL_repeats_2_5+,44.12699648996587,1.3320207871058012e-13,48.284758275045654,78.74182996208535,4.12534092502951e-13,6.017067432361337e-13,18.7890581917531,113.40335610875995,4.082260877103522e-13,3.8386297583202373e-13,1.1776284229701872e-12,82.06650948266234,3.6844957805976695e-13,75.88931785313194,5.918173836697562e-13
DEL_repeats_3_0,36.653626967229215,2.128905579321621,42.609928219072394,64.04618327429083,2.094329362012261,1.9103784455293777,17.91725521224364,91.97437364018371,5.355678079376752,1.4474991640682489,8.687932628520855,67.52777910656933,3.5032548670242982,61.95136675924224,10.147382164259213
DEL_repeats_3_1,192.99204331069848,164.49135231477442,345.7030711781152,320.7420691110409,454.14241470517135,648.3303618918063,155.1606864720207,180.45953609569895,489.75319701408034,416.41847253112354,1329.7052204746592,253.85672569451555,425.67904590982374,226.50782008520662,739.2997435912231
DEL_repeats_3_2,72.47945474286048,52.620099300398415,112.29559927510314,135.6768807718505,195.19070731672727,292.89392608994774,36.19174962368071,60.788483435709864,169.6368578029431,185.21524878761988,537.7897173467956,91.68830932837743,162.63793067230748,87.25489487021292,228.85900529949484
DEL_repeats_3_3,15.577055839344876,12.760511905494083,27.270059319401497,26.25395948934411,36.27704514085028,52.087484066942636,11.916702591553165,15.040823618485707,38.26480797570101,33.394464320685174,105.51019952128867,20.62017654414957,33.57727987865376,18.53582505266844,57.191393712478884
DEL_repeats_3_4,12.082842029057495,1.2061406408152854e-13,13.221319216259614,21.561066199625202,3.548198124191309e-13,5.127632245977158e-13,5.144814740730125,31.0520757454832,3.6478192462216414e-13,3.2807312794143055e-13,1.0241548217482407e-12,22.471429030539998,3.2369955314674224e-13,20.77999211935561,5.387554851788924e-13
DEL_repeats_3_5+,17.255797478050273,1.2025440652069848e-13,18.881684146807128,30.791877511667604,3.531708329881647e-13,5.102219812080468e-13,7.347433742378531,44.346216647420064,3.635406628196445e-13,3.264791322874136e-13,1.019769861713328e-12,32.091988578586516,3.2242098100637013e-13,29.67640682090848,5.372394309362963e-13
