Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15
DEL_T_1_4,316.62351812058273,-411.16834129457425,1825.5414464906585,2257.191228828552,-809.6397869355164,-3594.9551068381734,524.9595478471298,3193.7999354673743,890.0970738510218,35.42853161298808,-2525.2739641563894,-91.95864151829414,37.05946627145158,1014.1915679106846,-779.150581210467
DEL_T_1_5+,-42.513613168172014,38.39912610890315,-96.10450027807019,-146.56796995904733,24.051510586359655,267.80286522599636,-23.328936792662716,-203.4384631241337,-9.627424689402687,48.80804111703037,359.2609525376174,-26.982522348032944,-20.458864031592384,-78.7019047829308,64.74062876813696
INS_C_1_0,-1.1167311234203103,-1.2025440652069848e-13,-1.2219524699541955,-1.9927359491536094,-3.531708329881647e-13,-5.102219812080468e-13,-0.47549862287271716,-2.86992243616118,-3.635406628196445e-13,-3.264791322874136e-13,-1.019769861713328e-12,-2.0768743086920325,-3.2242098100637013e-13,-1.9205468289915606,-5.372394309362963e-13
INS_C_1_1,1.027889137512794,0.9174191297498551,2.3426546395845804,1.5021771643765547,11.28193978527235,-14.846416089150637,-2.943694430800406,-2.564676730464889,10.910064901058474,-14.093922867442597,-30.774996844305356,3.3384484269730876,-0.5134559370062668,24.73451380346703,-9.209186523981476
INS_C_1_2,-6.230674148405213,0.5288485953125911,-8.124296706474556,-10.074363732380776,-0.16016305456586455,-3.3290288404665036,-2.977622821316043,-16.25598014943899,2.3739470386991277,-1.088134306762214,-3.744297645735868,-8.983003527977374,1.3250704961124353,-7.070043705980369,1.0139689421988562
INS_C_1_3,-4.057323270108984,-5.313946144855958,-19.298276057935738,30.916845027875265,14.514900896991833,-46.771191052638834,-0.46285370920587,20.730942497379957,-15.949299881798765,-2.2562869444152724,-31.581289921862577,31.08526676413991,-8.358644039150974,7.519617276967292,-58.381828250481206
INS_C_1_4,81.27157599729493,-35.915389577747845,-29.926862374146225,-36.58130304412421,36.08827481100343,-263.47701568288625,25.167323258909384,21.99836140336376,99.41751723212195,-35.365980580720986,-527.3490659798547,63.55929820362752,-26.85827199407737,30.941745426164417,-118.01321579587409
INS_C_1_5+,406.87497818969865,79.53209594999703,-304.99919987328144,440.62544680647716,-95.32688830530105,-6.906407433066079,-369.10696514808876,607.1532031974601,-391.6900747899865,377.67930570601084,-1868.582983060931,328.67894450662277,636.4095966107554,68.61188648468686,241.77530422006566
INS_T_1_0,23.369096800790857,-15.853336742785523,-45.695921327347065,-12.457143055773855,-58.510647291109706,-85.55424056620714,2.8391006254608016,8.242253608392943,-34.14167761891218,-54.93420019642018,-295.360494043914,114.374650772103,-49.164187868213816,73.7384174551035,-174.79760296238294
INS_T_1_1,-28.0431913080685,1.400710531194005,-31.441294009101505,-49.58751553004592,0.6652129808139915,-0.1013759496865026,-11.682977990620477,-71.5686123693404,-0.44144281266703556,-0.14202390391220931,-0.8718224378158941,-52.02251192896396,0.1489153394862086,-47.94175735903027,1.1045032216463353
INS_T_1_2,-35.004742389520175,-5.503554321903138,-79.49794490500553,-104.61603542327748,-29.94940636204499,-22.69857483483659,-26.545684312922788,-127.02593936070232,-23.055226402541727,-45.24807784340316,-95.8187328710336,-104.55066010310952,-32.4369814880464,-80.91967633506681,-11.903927854286522
INS_T_1_3,3.1640100955601156,60.42634118220654,-101.88092687877707,-39.820509655789806,-8.53264970094392,-11.267030013092239,-86.76674872474092,-58.76629037591073,-33.97919214315897,-4.259199767502352,-279.5069571364105,-13.193180159879773,8.1606605567423,-21.570325131106415,-188.95776878566113
INS_T_1_4,-105.95603110095178,-241.29886563680992,-208.2963858627362,136.23450741134758,-122.84803431259479,134.99422344367355,-158.9182493994909,-49.77161177307261,-368.9454463371411,-112.62417701080483,-904.9243017838842,240.77272745850678,-418.55687613496264,191.04240939944373,-803.5747241053862
INS_T_1_5+,-28.401980751053088,10.258570916364988,8.521935246353678,-36.011060672496114,-17.368257566581633,34.86300157788992,14.343405290983355,-52.187459449019116,28.807279508619104,16.63106053269803,154.06995634403575,-15.169310543962638,-7.071444724973844,-20.7505401043818,23.19893302841956
DEL_repeats_2_0,-51.811054532955865,-8.147745927076354,-60.39425867587366,-99.35297938404332,8.794878321273409,4.46030224091411,-21.87806907912978,-138.4573590516892,-16.704856895677935,-5.473281932312586,-19.77971641852811,-108.96846833295271,-8.960498730700806,-91.45626250173424,-37.708580436586786
DEL_repeats_2_1,141.99310409389108,-30.32062454206732,20.020041633801924,-134.95584906626698,79.61436805646554,-391.53914210079,-38.24766674754784,64.04585979112764,-47.131652911124604,-154.7387326823657,-433.13505725684854,8.815502784668013,-170.91803778123884,-56.46895673415696,-23.18417243300337
DEL_repeats_2_2,21.634936791547048,11.709224738980318,103.62070637515455,22.563480899406713,101.57722494134381,51.799899584025724,-17.39862524208022,-23.479486041153393,-38.69947508360815,-101.0766920070142,-148.47327419246363,92.76809854068173,-15.224546027438265,91.73189079124684,-86.16905815151682
DEL_repeats_2_3,18.94621077173322,-8.635765963692691,4.5933878782017175,-7.744798914803717,45.52166125797274,-16.977961905566275,3.3256235406843064,22.326304135978145,-49.13019499993973,-15.40547847131009,-128.85387232777146,118.90091861985229,-22.257836232911686,5.250917172056415,41.31924490162959
DEL_repeats_2_4,-6.127643582093011,-6.67161616753847,-0.8549997224527175,65.42810401153262,-16.16796878863829,-49.19754131774647,7.848742598981087,19.609060920328453,-11.688347721375663,20.517791760356886,-43.89784617192851,6.361364834703899,27.466233311589768,63.02847351771895,-27.77576863312308
DEL_repeats_2_5+,-44.12699648996587,-1.3320207871058012e-13,-48.284758275045654,-78.74182996208535,-4.12534092502951e-13,-6.017067432361337e-13,-18.7890581917531,-113.40335610875995,-4.082260877103522e-13,-3.8386297583202373e-13,-1.1776284229701872e-12,-82.06650948266234,-3.6844957805976695e-13,-75.88931785313194,-5.918173836697562e-13
