Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.45,1122.7793891677286,48.867250075810446,0.0,1947.4100229714836,0.0,14.896375500770073,0.0,0.0,0.0,0.0,43.982927678596525
Ovary-AdenoCA::S.46,286.1209035485174,694.9134499195875,5962.347162464349,352.9330396426922,453.0058139575559,39.041435781897775,115.96086715715961,0.0,0.0,4473.253876985529,0.0
Ovary-AdenoCA::S.47,705.8229202591126,0.0,1599.7015973314572,1847.739727655813,0.0,0.0,0.0,0.0,328.9071956715184,0.0,0.0
Ovary-AdenoCA::S.48,961.4490497021739,0.0,3623.4957666029477,1995.5568962707282,382.34109824091354,0.0,0.0,300.31131063834334,865.5247857476136,3728.2442144246834,0.0
Ovary-AdenoCA::S.49,430.38176281672503,44.038301007670924,1019.0461619192666,257.08498235419415,0.0,335.65286614110045,0.0,238.299383741365,221.77828588694908,5234.049434006045,259.78314113858556
Ovary-AdenoCA::S.50,600.3709524300338,20.07929437839446,3196.120634428685,1073.4791584193108,0.0,0.0,0.0,59.549782653534244,0.0,0.0,0.0
Ovary-AdenoCA::S.51,491.8030494559163,0.0,3634.3517532953465,475.4242770504709,0.0,267.8898919548265,1239.0126393120684,0.0,771.0276664155862,5416.987725631845,0.0
Ovary-AdenoCA::S.52,822.4283512872746,40.024781647233056,4505.576393954856,1858.5163026126538,0.0,0.0,201.32562658212535,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.53,426.61595043500455,56.401906434334585,3346.9839114026445,525.659734116776,0.0,720.5718694628454,1231.2474678873675,0.0,797.4836183192625,0.0,0.0
Ovary-AdenoCA::S.54,897.4019036639328,274.74806749715714,4939.972145083812,0.0,378.19251612195075,0.0,0.0,0.0,288.80555619837264,0.0,0.0
Ovary-AdenoCA::S.55,776.0323397243827,0.0,4394.766124440987,1499.7639083224617,0.0,0.0,0.0,0.0,901.0419660153638,0.0,165.8561915635425
Ovary-AdenoCA::S.56,890.5719206456923,73.08811467767431,3593.130047332828,1230.4907022002521,249.99007708561146,28.848101603532438,0.0,0.0,0.0,0.0,63.7892016014568
Ovary-AdenoCA::S.57,897.2229838318502,24.464204711891064,2949.219025682546,1581.950474044359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
